MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
4709.958,16.522,0.015,17.877,0.035,18.598,0.059,17.629,0.032,17.771,0.013
4710.948,16.529,0.010,17.912,0.024,18.594,0.039,17.627,0.021,17.810,0.009
4711.915,16.534,0.010,17.880,0.024,18.682,0.041,17.613,0.021,17.798,0.009
4712.909,16.528,0.009,17.901,0.022,18.599,0.036,17.609,0.019,17.794,0.008
4716.901,16.535,0.011,17.910,0.025,18.618,0.042,17.644,0.022,17.801,0.009
4728.924,16.509,0.009,17.888,0.022,18.652,0.037,17.666,0.020,17.806,0.008
4730.992,16.514,0.007,17.892,0.017,18.634,0.029,17.613,0.015,17.809,0.006
4731.933,16.522,0.007,17.895,0.018,18.675,0.030,17.593,0.015,17.799,0.007
4738.016,16.497,0.007,17.880,0.018,18.643,0.031,17.623,0.016,17.794,0.007
4742.853,16.521,0.008,17.909,0.019,18.638,0.032,17.636,0.017,17.801,0.007
4744.012,16.508,0.008,17.879,0.019,18.622,0.032,17.599,0.017,17.802,0.007
4744.969,16.495,0.009,17.866,0.023,18.664,0.039,17.603,0.020,17.796,0.008
4747.844,16.511,0.009,17.913,0.022,18.630,0.037,17.650,0.020,17.803,0.008
4754.885,16.520,0.013,17.907,0.031,18.671,0.052,17.641,0.027,17.810,0.011
4756.916,16.536,0.070,17.817,0.161,18.632,0.280,17.562,0.143,17.817,0.062
4759.885,16.524,0.008,17.903,0.018,18.670,0.031,17.610,0.016,17.811,0.007
4784.929,16.487,0.011,17.889,0.027,18.658,0.045,17.605,0.023,17.773,0.010
