MJD,mA,e_mA,mB,e_mB,mC,e_mC,mD,e_mD,mbeta,e_mbeta
5082.932,16.722,0.017,18.213,0.031,19.133,0.091,17.693,0.028,18.702,0.025
5083.899,16.714,0.009,18.243,0.016,19.102,0.046,17.707,0.015,18.671,0.013
5084.888,16.724,0.009,18.256,0.018,19.114,0.050,17.713,0.016,18.695,0.014
5085.886,16.718,0.019,18.249,0.035,19.036,0.095,17.736,0.031,18.686,0.027
5086.888,16.731,0.009,18.246,0.016,19.114,0.046,17.710,0.014,18.689,0.012
5087.881,16.747,0.009,18.239,0.017,19.231,0.052,17.665,0.015,18.690,0.013
5088.938,16.741,0.008,18.236,0.015,19.118,0.043,17.719,0.013,18.671,0.012
5089.949,16.752,0.009,18.229,0.017,19.096,0.047,17.720,0.015,18.690,0.013
5092.021,16.765,0.011,18.237,0.019,19.170,0.056,17.762,0.017,18.723,0.015
5097.865,16.773,0.010,18.257,0.017,19.074,0.048,17.815,0.016,18.684,0.013
5098.864,16.793,0.010,18.255,0.018,19.132,0.050,17.722,0.016,18.673,0.014
5099.857,16.797,0.011,18.253,0.020,19.103,0.055,17.736,0.018,18.686,0.015
5100.879,16.798,0.013,18.238,0.023,19.240,0.069,17.719,0.020,18.689,0.018
5110.875,16.850,0.015,18.244,0.026,19.207,0.078,17.766,0.024,18.688,0.020
5111.942,16.849,0.014,18.251,0.025,19.209,0.073,17.769,0.022,18.703,0.019
5112.888,16.848,0.009,18.279,0.016,19.149,0.044,17.774,0.014,18.686,0.012
5113.843,16.875,0.010,18.261,0.017,19.169,0.049,17.735,0.015,18.700,0.013
5114.884,16.871,0.010,18.252,0.018,19.299,0.056,17.739,0.016,18.686,0.014
5115.851,16.833,0.016,18.244,0.028,19.227,0.083,17.738,0.025,18.714,0.021
5116.903,16.866,0.009,18.228,0.016,19.215,0.047,17.729,0.014,18.699,0.012
5117.843,16.864,0.010,18.232,0.018,19.090,0.051,17.739,0.016,18.691,0.014
5118.843,16.865,0.008,18.246,0.014,19.169,0.042,17.735,0.013,18.694,0.011
5119.845,16.863,0.009,18.247,0.015,19.175,0.044,17.738,0.013,18.685,0.011
5122.863,16.864,0.008,18.245,0.014,19.191,0.040,17.753,0.012,18.679,0.010
5123.989,16.892,0.009,18.204,0.016,19.077,0.045,17.739,0.014,18.722,0.012
